,China
Lat,1083.3367
Long,3684.4197
1/22/20,548.0
1/23/20,643.0
1/24/20,920.0
1/25/20,1406.0
1/26/20,2075.0
1/27/20,2877.0
1/28/20,5509.0
1/29/20,6087.0
1/30/20,8141.0
1/31/20,9802.0
2/1/20,11891.0
2/2/20,16630.0
2/3/20,19716.0
2/4/20,23707.0
2/5/20,27440.0
2/6/20,30587.0
2/7/20,34110.0
2/8/20,36814.0
2/9/20,39829.0
2/10/20,42354.0
2/11/20,44386.0
2/12/20,44759.0
2/13/20,59895.0
2/14/20,66358.0
2/15/20,68413.0
2/16/20,70513.0
2/17/20,72434.0
2/18/20,74211.0
2/19/20,74619.0
2/20/20,75077.0
2/21/20,75550.0
2/22/20,77001.0
2/23/20,77022.0
2/24/20,77241.0
2/25/20,77754.0
2/26/20,78166.0
2/27/20,78600.0
2/28/20,78928.0
2/29/20,79356.0
3/1/20,79932.0
3/2/20,80136.0
3/3/20,80261.0
3/4/20,80386.0
3/5/20,80537.0
3/6/20,80690.0
3/7/20,80770.0
3/8/20,80823.0
3/9/20,80860.0
3/10/20,80887.0
3/11/20,80921.0
3/12/20,80932.0
3/13/20,80945.0
3/14/20,80977.0
3/15/20,81003.0
3/16/20,81033.0
3/17/20,81058.0
3/18/20,81102.0
3/19/20,81156.0
3/20/20,81250.0
3/21/20,81305.0
3/22/20,81435.0
3/23/20,81498.0
3/24/20,81591.0
3/25/20,81661.0
3/26/20,81782.0
3/27/20,81897.0
3/28/20,81999.0
3/29/20,82122.0
3/30/20,82198.0
3/31/20,82279.0
4/1/20,82361.0
4/2/20,82432.0
4/3/20,82511.0
4/4/20,82543.0
4/5/20,82602.0
4/6/20,82665.0
4/7/20,82718.0
4/8/20,82809.0
4/9/20,82883.0
4/10/20,82941.0
4/11/20,83014.0
4/12/20,83134.0
4/13/20,83213.0
4/14/20,83306.0
4/15/20,83356.0
4/16/20,83403.0
4/17/20,83760.0
4/18/20,83787.0
4/19/20,83805.0
4/20/20,83817.0
4/21/20,83853.0
4/22/20,83868.0
4/23/20,83884.0
4/24/20,83899.0
4/25/20,83909.0
4/26/20,83912.0
4/27/20,83918.0
4/28/20,83940.0
4/29/20,83944.0
4/30/20,83956.0
